p2518	t1735
p9200	t486
p11217	a675
p13606	t453
p12850	c18
p7817	t2126
p448	t43
p7560	t225
p2244	t179
p5098	t10
p9353	t2417
p12501	t3715
p2205	t1706
p3918	t3625
p3581	c7
p9184	t1247
p4337	t128
p4800	a9680
p13867	t55
p12749	t33
p9186	t106
p2708	t1
p13616	t19
p10672	t60
p13846	c18
p5795	c9
p8737	t103
p1217	t105
p8539	c12
p2453	t735
p9515	t4
p10352	t43
p56	t60
p1349	a3447
p12224	t735
p2588	a4094
p9297	t1630
p5429	t1092
p6157	t1221
p9813	t78
p4348	t984
p12064	t1282
p4849	t8846
p4936	t426
p3493	t1993
p480	c1
p9169	c14
p12309	t4011
p10816	a5250
p10370	t925
p3579	a11063
p10432	t33
p7443	t1043
p1543	t3695
p13946	c18
p2961	t33
p2898	a10034
p251	t430
p4189	t221
p7042	t5914
p5366	c9
p6381	t4
p9899	a6579
p12835	t128
p6531	a2160
p7774	a7606
p743	t19
p3476	t4
p7479	t5898
p3597	t426
p10524	t838
p13198	t255
p265	t358
p3047	t179
p7575	t6443
p13802	t60
p12618	a7573
p9031	t3228
p3454	a7479
p11657	t776
p770	t2868
p418	t221
p10009	t423
p5627	a11926
p9598	t12
p7329	t20
p11397	t462
p13180	a5914
p5037	a6615
p12199	t503
p11472	t558
p9239	a5007
p5186	t577
p9247	t4697
p12312	t233
p9807	a11148
p12204	t776
p8105	a302
p11918	t1034
p11710	t2724
p2070	t371
p14201	t219
p2306	t345
p12670	c18
p13921	a11003
p3104	t798
p14357	t536
p1877	t338
p2680	t4642
p8879	t426
p8239	t5497
p5826	c9
p14104	a10597
p6897	t941
p6325	t2586
p6170	t10
p9458	c14
p14324	t392
p6010	a12157
p185	t43
p10277	a9902
p5197	t626
p8305	t622
p8224	t5105
p6896	c10
p6626	t2210
p3443	t612
p11981	t345
p4111	t197
p8844	a6599
p12233	t3881
p8192	t1914
p2415	c3
p9464	t4
p12202	t1277
p5830	t24
p1842	t2167
p1704	a7742
p12144	a6411
p6577	t4
p466	a2089
p9270	t904
p8227	t1451
p5279	a1295
p9629	t10
p3557	t483
p360	a1848
p13218	t1242
p5551	t115
p1283	a3346
p10170	t2180
p3808	t1827
p11201	a7385
p11520	t4
p13316	a7379
p7627	t108
p8360	t4
p13329	a8489
p10375	t103
p4134	c7
p5265	t3799
p10206	t106
p12934	t252
p5375	t6
p9373	a1837
p5678	t1260
p1890	t221
p7972	a12717
p4259	t43
p2605	t578
p9049	t580
p2220	a7480
p11125	t453
p10004	a3976
p5277	c9
p3303	a5307
p9374	a9337
p10056	t35
p5776	c9
p659	a2461
p10554	t4008
p1249	a3281
p10761	t562
p8454	c11
p10733	t759
p4048	a3761
p3063	t285
p12859	t19
p2923	t352
p1919	a7132
p3297	t5172
p12147	a6948
p9929	t286
p11231	t52
p12553	a10606
p960	a2913
p11057	a5074
p12426	a14013
p10193	a8662
p9860	t1139
p1433	t53
p1131	a3133
p4561	t2359
p1077	a29
p14249	a2057
p8857	c13
p6626	a1381
p8474	t1
p12445	a13293
p4267	a3468
p13722	t521
p10112	a1693
p6991	c10
p10745	t313
p8310	t12
p10975	a1693
p1429	t53
p7160	t1296
p1460	t3956
p656	a2457
p3428	t345
p8624	t2017
p7693	c11
p9757	t536
p8806	t539
p5118	a9780
p9530	c14
p3989	t474
p2094	t661
p186	t43
p7424	t461
p3633	t5795
p13599	a6605
p4262	a2414
p14040	t1865
p11392	t549
p9699	t536
p3073	a4680
p10980	t2810
p1453	a3595
p10967	t3451
p12322	t60
p9451	t19
p7258	t7
p865	t3342
p12961	a9146
p14095	c19
p3169	t1854
p6528	t33
p4553	t426
p5927	t3277
p7476	t19
p9194	t1
p13145	t827
p3394	t515
p2192	t52
p6567	t392
p14089	t8595
p7501	t33
p10356	t2123
p8767	t2109
p6553	t19
p13680	a12610
p14182	t4
p2674	t399
p13874	a9157
p10316	t598
p8379	a2104
p12065	t462
p6937	t475
p6448	t3
p11826	t52
p11793	t396
p6370	t1870
p9180	t1664
p1579	t13
p5206	t828
p4943	t527
p12082	t3589
p1884	a7940
p5685	a2361
p12704	t211
p12344	a4872
p4733	t6502
p12749	a12565
p9379	c14
p9859	t594
p12906	t19
p4681	a3932
p12537	a11491
p5062	t502
p10852	t234
p8137	t313
p8929	a2596
p809	t108
p8393	a7980
p12522	t221
p5629	t280
p6087	t4
p10085	t2110
p9140	c14
p13725	a6482
p10919	t19
p8547	t43
p142	t168
p13040	t49
p8882	t1275
p11550	t919
p6013	t60
p8534	a4520
p321	t43
p13720	t1
p4693	t60
p11939	a3262
p9053	t1371
p13060	t442
p6950	a12325
p582	t885
p14292	a9733
p9667	t1224
p6983	t297
p13463	t144
p13184	a13229
p6170	t486
p12171	t277
p9289	t33
p570	t60
p11277	t60
p11694	t519
p11769	t7925
p284	t235
p1873	t33
p3130	t4
p2246	t224
p13505	a11244
p12800	t2289
p5942	t784
p7887	t19
p213	a1526
p12046	t489
p13902	a6970
p6605	a12262
p1179	t3677
p13450	t3424
p11620	c17
p578	t43
p2023	t2408
p7992	t442
p7552	c10
p956	t129
p3809	a11172
p300	t60
p11572	t435
p11121	t273
p5026	t1814
p2382	t238
p2566	t3004
p3093	t33
p13725	t592
p10072	t322
p8328	t2085
p13914	t4529
p6371	a1881
p7740	t4
p3409	t474
p5107	t352
p14219	t103
p25	t257
p6900	a7997
p13678	t437
p5576	t4
p7254	a9811
p686	c1
p12814	t2242
p77	c1
p2993	t43
p8944	t417
p6382	t13
p9600	t461
p12006	a5749
p4984	t2295
p2333	c3
p11538	a13794
p3992	t24
p6652	t262
p13203	t4
p12320	a9293
p12724	t2668
p10695	c16
p6245	t60
p13543	a4410
p6406	t102
p11156	t5485
p13302	t1982
p11396	t252
p4012	a4433
p4694	t4772
p12927	t128
p13609	t3505
p13847	t1053
p5583	c9
p10215	t4203
p4110	t2224
p3142	t187
p3197	t19
p8108	t53
p3794	t3683
p13698	t101
p6989	t33
p2155	a5321
p13555	a3227
p1399	t149
p11604	a9325
p8772	a13039
p7353	t53
p4713	t8821
p13638	t330
p4592	t255
p7510	t115
p4420	t1156
p12485	t526
p9638	t51
p11550	t108
p2642	a3468
p114	a1308
p9809	t4070
p13875	a4442
p8106	t925
p5809	t2970
p10534	t19
p10557	t221
p12075	a10252
p5751	t163
p7755	t263
p1521	t33
p8194	t6708
p8611	t1005
p8147	a11935
p12855	t43
p10686	t36
p1266	t3766
p7064	a12342
p10166	a13356
p2769	t33
p2355	t1997
p9883	t43
p6543	t426
p9327	a5895
p1015	t3511
p3593	t3515
p10080	t4
p6403	t2006
p3048	a6754
p13617	t601
p559	t1656
p8505	t53
p4735	t33
p3863	t7087
p6875	t2116
p8233	t864
p4105	t7716
p4477	t2359
p13359	a9172
p9214	t1
p9594	t483
p6457	t612
p2180	t19
p9236	t261
p12707	t817
p14099	a5602
p7038	c10
p5317	t24
p9451	t2218
p5782	t820
p12618	a7572
p13547	t289
p5176	t2465
p8097	c11
p825	t60
p14291	a684
p9479	a7720
p7443	t9
p12888	a6557
p13694	t1721
p13257	a4567
p1789	t112
p7264	t60
p11196	a9437
p9820	t754
p5708	t783
p7907	a3787
p5271	t106
p11957	a5872
p2237	t1599
p5147	t33
p3505	t552
p1671	a7699
p5927	a4030
p8642	t176
p9121	t4
p12951	a14172
p9406	a8417
p1739	t426
p12117	t1
p12533	t345
p248	t41
p4795	t27
p13107	t53
p13021	a4704
p2432	t784
p12920	c18
p2358	t1267
p11398	c17
p8460	a5824
p7522	t4186
p12306	t442
p1374	t870
p606	t2330
p11350	t40
p12718	a14116
p2887	t1123
p13378	t392
p2907	t4821
p1638	t24
p12294	t1156
p7480	a862
p7192	t53
p4618	a3426
p7768	t3442
p10162	a13354
p11179	t43
p3906	t4956
p7081	t191
p2091	t4
p13801	t60
p586	a2121
p12384	t165
p6282	a1065
p11345	t43
p1346	t60
p12463	t51
p4535	t43
p7419	t1581
p13605	t444
p4147	a10424
p5414	a1205
p4247	t2971
p8270	t179
p5571	t12
p3382	t33
p8166	t52
p1083	t3599
p9601	a6947
p8884	t10
p7821	t78
p1451	t2929
p11421	t2068
p4941	t1251
p3254	t37
p2743	a1842
p12303	a6755
p1008	t601
p9542	c14
p7366	t255
p318	t2515
p10661	t33
p4789	a5485
p200	t4
p9284	t5202
p13515	a9195
p3959	a3468
p1562	t2872
p13142	t192
p7172	t57
p2133	t4094
p11314	a10844
p4787	t33
p13751	t194
p12909	t2417
p4708	t343
p8854	t2016
p3359	t43
p5585	t1433
p14375	t118
p10212	t235
p2441	t87
p8594	t19
p5874	t115
p4874	t2822
p8078	t1526
p7507	c10
p3850	t87
p6878	t60
p11444	a10240
p10603	t379
p13235	t60
p4419	a11380
p8510	a12976
p4871	t453
p14087	a7170
p2770	t4
p10364	t4594
p13796	t330
p9829	t4971
p13753	t1
p13489	t3366
p7047	c10
p6335	t677
p10458	t43
p3485	t5574
p4338	t853
p1862	t2199
p2697	c4
p12290	t52
p3081	t53
p13891	t3984
p1978	a392
p3964	t538
p5119	t3586
p2026	t19
p7429	a1896
p3691	c7
p11242	a4356
p9884	t4
p3046	a8189
p9438	t4
p6444	a5375
p1296	t75
p4520	t43
p8738	t19
p4442	t423
p8684	a13022
p12544	t233
p10272	c16
p2375	a6264
p5818	a11979
p13994	t474
p1652	t657
p2785	t19
p7695	a7227
p2211	t426
p6460	t148
p875	t514
p2528	t53
p13705	t1831
p14343	t60
p13861	c18
p13552	t33
p11438	a3227
p8015	c11
p7311	t5687
p2597	t4588
p9655	a4079
p1950	t128
p9940	t221
p10351	t1156
p5035	t1
p8736	t6911
p6514	t60
p1453	t1284
p10195	t202
p10051	a4761
p9502	t49
p6617	t51
p3370	t617
p9673	a7179
p9224	t503
p10479	t113
p3390	a4536
p7087	t6255
p4139	t3855
p1501	a1101
p11650	a4704
p12358	a4530
p12420	t8121
p6895	t262
p10443	t226
p4182	c7
p12253	t37
p6828	a1753
p2877	t2461
p9620	a4780
p1645	c2
p4464	t60
p12969	t474
p5203	a1111
p7661	t4
p12278	a762
p8309	a12828
p6046	t252
p12076	t118
p14169	t2200
p1274	a1686
p13866	t52
p13367	c18
p13622	a9357
p3440	t149
p8753	a7728
p8459	t4
p8783	a5932
p4401	t5115
p1176	t1225
p497	a2153
p9621	t1260
p9425	a10604
p4687	c8
p6719	t6113
p8425	t1547
p881	a305
p7925	c11
p11396	t40
p9636	t3979
p1545	a1434
p5331	a2596
p8259	t2061
p4135	a9766
p5717	t19
p10191	t43
p13744	t1053
p13798	t103
p11482	t5127
p4532	t4927
p9790	t2063
p7211	a2287
p1301	t3270
p1994	t2375
p7641	t46
p8227	t1781
p4492	c7
p1511	t1223
p4454	t495
p9477	a6910
p11723	a4876
p6836	c10
p13639	t330
p1101	t44
p6355	t1082
p13989	t19
p4619	t479
p7340	t2924
p3321	c7
p2612	t36
p4788	c8
p2376	a3158
p14330	a3895
p10981	a5456
p7098	t1649
p7529	t426
p9226	t159
p9111	t43
p4697	c8
p370	a1869
p1370	t12
p13417	t88
p1954	a2705
p6493	t166
p9321	t115
p4130	t941
p932	t1132
p12558	t430
p232	a1584
p10153	t2245
p11498	a6660
p3182	t1070
p14003	t245
p11342	a7623
p540	t2893
p4433	a4781
p4668	c7
p13339	a4739
p417	t81
p288	t129
p5450	t33
p10648	a4731
p4370	t370
p9311	a4626
p12631	c18
p12286	t263
p8827	t4294
p4177	t474
p4460	a11399
p9498	a4489
p12054	t467
p3385	t591
p3459	t3758
p2794	t446
p12572	t330
p585	t33
p11670	t159
p10231	t527
p4847	t1134
p8277	t2183
p2144	t192
p1351	a3451
p4092	t495
p3944	t2161
p11564	t2644
p942	a1321
p12826	a7083
p5770	t1229
p5754	a4090
p7643	t612
p3933	t4186
p962	t33
p2842	t53
p10819	a5431
p4779	t1032
p5650	a2890
p6359	a1598
p14089	t8596
p10763	t819
p9835	t432
p3233	a10238
p5184	a11744
p8445	t33
p2708	t4
p13834	a572
p695	a2177
p3535	a4571
p96	t386
p13635	a3101
p2880	a4852
p7991	a4125
p2546	a609
p3544	t426
p8297	t1057
p11903	t633
p917	t269
p9726	t366
p12785	t474
p5812	t549
p1224	t286
p11434	c17
p4180	t3029
p1991	t19
p13795	a6509
p725	c1
p9858	a7609
p9545	a6782
p14063	t33
p7536	t57
p6213	t261
p10214	t323
p415	t2680
p3838	t817
p7609	t527
p12359	t106
p10969	a5692
p3723	a9774
p886	t392
p12357	a5922
p2790	t2768
p14081	t182
p12765	a6393
p8053	t53
p9376	a4727
p7832	t417
p3765	t4
p14047	a8455
p9351	c14
p9430	t327
p13919	t1161
p5711	t674
p10243	t118
p10826	a102
p12912	t544
p10479	t214
p2374	a68
p7108	c10
p987	t252
p4595	t2223
p10702	t432
p4431	t8749
p4826	t4723
p3896	t7102
p5499	t481
p1533	a3678
p9085	t1451
p12443	a6468
p3651	a856
p9038	a5376
p7192	t60
p7966	a5815
p10804	a5154
p12925	t662
p3299	a7239
p1301	t167
p2208	c2
p3372	t4
p6580	t1263
p12081	t426
p10221	a5060
p12663	t60
p11035	t1100
p7517	t1021
p7834	c11
p11678	t2183
p3530	t474
p3899	t750
p10385	t2030
p1344	t128
p10612	t3664
p11282	a3262
p8808	t1433
p4059	t43
p1743	c2
p250	t321
p6758	t699
p7660	a1309
p12623	t5371
p1381	a3494
p930	t53
p13059	t1156
p13948	t113
p8445	t456
p6786	c10
p7770	a1520
p5192	t3098
p29	a1021
p14203	t3062
p12928	t330
p4446	a9137
p8075	t776
p11826	t87
p12981	t503
p2366	a22
p10179	t51
p8681	a5709
p12487	t5115
p9049	t1349
p9951	t142
p5071	a6730
p7902	t36
p3136	a10184
p843	a1528
p6105	a1616
p632	t191
p797	t58
p10096	t43
p3720	t423
p4294	a4306
p1796	t278
p42	t4
p8997	t75
p4107	t43
p6354	t1353
p13274	a8350
p8875	t221
p4200	a167
p4588	t141
p3122	t435
p3883	a3775
p5622	t423
p2932	c5
p13750	c18
p10662	t527
p5798	t1182
p10005	a13303
p1353	a3456
p11855	t60
p30	t306
p13613	t19
p13936	a4813
p13013	t3515
p474	t49
p3606	t79
p13783	t33
p9921	t1161
p9101	t19
p11994	c17
p14031	t811
p6712	t79
p4319	t43
p7534	t4308
p9158	t4664
p1665	t81
p2233	t573
p6389	t263
p13643	t6341
p12730	t128
p10850	t2625
p6110	t308
p3917	a3149
p1220	a1189
p5161	a11726
p9037	c13
p653	t470
p12885	a6725
p7134	t1828
p11836	t6084
p14212	c19
p5003	a9581
p5197	c8
p3552	t330
p5676	t218
p758	t330
p2647	t1922
p13874	t10
p6956	t12
p5575	t13
p7057	t338
p10434	c16
p1069	c1
p768	a2343
p12306	c17
p10865	t103
p6769	t10
p3912	t1
p8345	a11387
p12721	t60
p6145	t1
p13153	t157
p8654	c12
p7991	t305
p11106	t573
p11865	t474
p8887	a3825
p3108	t963
p8621	t60
p2692	t127
p2299	t81
p10602	c16
p6597	t1340
p2806	t43
p14170	c19
p13919	a11992
p12791	t484
p7560	t812
p9845	a1693
p2262	t43
p9068	a11248
p9512	a12476
p1385	t4
p13931	t8543
p3129	a3101
p13787	a7062
p1047	t278
p3042	t4979
p13928	t7183
p13170	a12906
p6179	a1648
p5470	t19
p8366	t2832
p11517	t4
p9068	a8135
p1020	t82
p4461	a9162
p5281	a5556
p3418	t33
p248	c1
p832	t925
p6164	t180
p10721	c16
p387	c1
p10918	a4761
p9523	a3174
p8366	t78
p304	t1241
p12546	c17
p1360	t1608
p4195	c7
p1665	t625
p10597	t696
p4848	t4812
p10973	a9910
p8334	a9725
p8857	t459
p13190	a6671
p2772	t442
p7201	a2074
p11155	t24
p9857	a7609
p6623	t798
p2807	t19
p4003	a4435
p9276	a7501
p594	t238
p5783	t370
p12522	t8169
p5714	a5346
p9100	a8086
p13681	t520
p3853	t626
p5536	t2082
p8554	t36
p5302	a6581
p4968	t878
p10663	a13517
p10675	t629
p2284	t2583
p4103	t915
p693	a2121
p4686	t417
p1490	t537
p1148	t1200
p11412	t3781
p4453	t629
p13639	t179
p1329	t674
p10928	c16
p10531	t19
p11537	c17
p9317	t103
p4257	c7
p13232	a10143
p13241	t43
p495	t1103
p11859	t60
p1264	t167
p10772	a561
p1322	t12
p14141	a885
p9594	t3757
p1399	a2939
p5254	t783
p9230	a11001
p12602	t149
p2257	t2170
p14140	a2512
p5522	t688
p7979	t6626
p10592	t4
p9225	t338
p5715	t51
p520	a2188
p6236	t392
p13122	a14205
p2149	a5065
p8603	t222
p6549	t1
p9908	t1548
p487	c1
p267	c1
p185	c1
p11822	t3925
p8784	t1413
p9324	t4
p8626	a9673
p10035	t573
p2512	t43
p9164	t7071
p11495	a4738
p8352	t4260
p7827	t36
p5756	t476
p1093	t1230
p5125	a3932
p1450	t315
p1956	a8010
p1173	t7
p12338	a7087
p3570	t19
p4699	t601
p6023	t486
p8107	t33
p11446	a8200
p9752	c15
p10159	a7340
p9286	a6300
p1031	t17
p7946	a7072
p11379	t19
p317	t120
p13568	t1034
p11872	t1358
p2179	t425
p13573	t3001
p3616	a495
p2068	a783
p13701	t108
p12314	t106
p8980	t53
p10648	t2269
p5741	a3432
p2285	a4823
p1693	c2
p3770	a4677
p7403	t712
p6415	t5932
p3352	c7
p5112	a3230
p9581	t1
p1242	t3736
p1629	t87
p1624	t593
p4206	t60
p5062	a6653
p11888	t60
p1739	t4
p5772	c9
p6123	t78
p3824	t3579
p3988	t108
p8865	t371
p8740	t817
p2082	t527
p9923	a8138
p1040	t756
p4628	t612
p8103	t4
p10837	t1
p1278	t19
p10515	t36
p3821	a8744
p1328	c1
p4547	c7
p7471	t103
p4321	t607
p5584	t33
p12105	t630
p14357	a4672
p12635	t285
p3342	t88
p10693	t1536
p4150	t60
p5587	t301
p10277	a3684
p11911	t164
p5113	t136
p6726	t464
p9528	a7223
p289	a1712
p3018	c6
p4333	t33
p2205	t452
p3728	t788
p10539	t490
p8020	t6637
p1325	a149
p7718	t214
p2491	t3783
p12619	a1760
p1351	t38
p604	t3002
p11545	t23
p9829	t466
p4404	c7
p3856	a4445
p10479	t330
p10859	t2393
p557	t48
p4867	a11600
p8963	t4
p6865	c10
p13839	a8268
p8723	t36
p8473	t6360
p7487	t2562
p145	t1430
p5044	t4
p3216	a4550
p4007	t801
p4443	t1975
p5069	a1611
p8296	t1
p10601	c16
p12492	c17
p11329	t367
p8754	a4184
p6956	c10
p8261	t3795
p4451	t19
p9905	t19
p3521	t238
p6488	a1786
p3539	t19
p13933	t8544
p3342	a4542
p4254	t426
p1908	t677
p14339	t1768
p8516	t2359
p12256	t1691
p4186	c7
p8761	t221
p6116	a12174
p12923	t4851
p13020	t219
p9165	a752
p10421	t432
p7345	t911
p13576	t690
p3592	a5535
p4491	t5877
p13045	t8301
p1339	t2986
p13793	a14346
p13179	a4434
p3078	t316
p8708	a11702
p10438	t2176
p1063	t51
p8272	t1998
p10500	c16
p10693	a346
p7011	t4
p12511	t43
p8164	t426
p9581	c15
p12908	a5335
p4091	c7
p3230	a4611
p3681	t60
p9136	t33
p4490	c7
p3805	t558
p3436	t1686
p13672	c18
p7312	t894
p12265	t1457
p461	t677
p6297	t60
p12771	t330
p4283	c7
p417	c1
p10917	a7967
p3441	a4968
p1621	t3
p7608	t84
p8121	a2235
p14178	t1519
p9605	t1251
p7698	a8597
p8626	a5860
p4360	t438
p78	t1210
p1575	t2823
p5714	t591
p11396	a4642
p9274	t3424
p13741	t474
p2791	a9986
p8754	t330
p66	t520
p2395	t714
p8776	t417
p9295	c14
p271	t1820
p8260	t1755
p8286	a5121
p3913	t1156
p12779	t426
p6207	t1341
p6540	t1
p8418	t33
p7845	a8357
p9405	t541
p5916	t10
p8474	t321
p13952	t845
p2040	t423
p11520	t544
p7973	t19
p6954	t814
p6544	t710
p7653	c10
p1960	a8014
p9744	t19
p10222	t4821
p8270	t43
p8365	t426
p10133	t674
p11110	a9914
p6015	c10
p1411	t149
p2987	c6
p2159	a5985
p3572	t536
p547	a2251
p3535	t132
p2532	t4524
p1115	t79
p10664	t688
p13979	t2779
p3038	t19
p13588	t437
p12323	c17
p4286	c7
p1231	a3253
p13566	t426
p637	a2416
p14063	a271
p8605	t390
p82	t60
p14217	t136
p13959	t495
p13970	t426
p3148	t438
p10277	t529
p7010	t2101
p12896	a4484
p9227	a10782
p468	a2090
p3633	t877
p13794	t560
p4579	a6687
p1361	t3095
p8308	t280
p5142	t501
p6296	t4
p5960	a1496
p5644	a9262
p3008	a10118
p10302	t1156
p6502	t6027
p14088	a8255
p6540	t4
p13170	a14216
p8771	t160
p4141	t2330
p754	t13
p366	t166
p5448	t5339
p11442	t78
p3805	a5840
p10238	t724
p4940	a11633
p13102	c18
p4155	t36
p8720	c12
p11155	a5711
p9114	t46
p7902	c11
p10570	t527
p7940	a7372
p8021	t6639
p6433	t262
p3173	t5072
p8500	t19
p7534	t377
p13455	c18
p10415	t526
p6981	a6357
p14286	a3352
p6680	a3167
p11791	t4
p12121	a13946
p14025	t1120
p3319	a8622
p4777	c8
p4982	t60
p11137	a4051
p6713	t395
p2498	t998
p10345	t43
p3464	a7829
p437	t37
p6343	t29
p12036	t546
p13317	t776
p4627	t141
p11706	a301
p4187	t674
p5106	t1
p8368	a11758
p5316	a5028
p1179	t2822
p6629	c10
p4275	a5985
p13479	a1173
p11666	a4627
p10562	t43
p7675	t263
p1372	t861
p13048	t971
p2426	c3
p4734	a11550
p7854	t212
p13722	t432
p8670	t97
p4185	t3249
p6001	a1111
p11498	t53
p11548	t474
p14367	a13256
p49	a1118
p14277	a3644
p2555	t467
p9881	t744
p1727	a1693
p936	t1
p1170	c1
p5025	t3
p906	t129
p7455	t1260
p10203	t591
p8490	a5964
p2005	t495
p8726	a8701
p5734	t221
p1922	a147
p4398	t426
p11698	t625
p7228	t1
p10103	a10325
p8078	t1527
p8232	a6161
p762	t1608
p5915	t33
p6352	t36
p13559	t462
p9291	t128
p8195	t462
p9270	a7999
p8716	t417
p9455	t132
p4838	t4
p7064	t3491
p6720	t927
p2121	a4972
p1717	t548
p12621	t19
p8152	t864
p7216	t601
p11866	c17
p14116	t101
p1750	a7814
p10493	t4710
p10209	a8436
p1226	t947
p3903	t60
p7746	t78
p808	t43
p4641	t196
p12348	t106
p14354	t677
p9740	t4234
p11042	t47
p10947	t2898
p980	t1
p11281	t1827
p13765	t640
p9314	t33
p3638	a11090
p12833	t600
p11898	a4254
p4336	t33
p3606	c7
p5135	t115
p10878	c16
p14348	t115
p2686	t4645
p7945	t546
p2991	t563
p12389	t155
p5557	t636
p5964	t4
p10110	a2057
p13964	t120
p7304	a1048
p7407	a1968
p2022	t1480
p9112	t270
p13816	a5939
p13859	a4933
p130	t234
p6715	t474
p14058	t19
p1738	t1058
p1521	t1518
p7612	t1385
p10456	a543
p3183	c6
p6555	t4
p1012	a2987
p13475	t8421
p10169	t147
p4301	a8189
p9282	t659
p3227	a5530
p11873	t106
p4313	t503
p1015	t1406
p10106	t43
p8873	t322
p12361	t915
p9228	t3136
p5123	t417
p13291	c18
p8663	t320
p3660	a7527
p13931	a7499
p2175	t338
p3754	t345
p9019	t79
p12823	a10750
p12803	a5619
p10677	t702
p569	c1
p4958	t2447
p7116	t1811
p4772	a6060
p10328	t2986
p2183	t432
p12642	t8197
p7933	t308
p11175	t4361
p676	c1
p7960	t417
p8391	t36
p2116	t2167
p8781	a6290
p8531	a11783
p772	t60
p8280	t417
p11873	t658
p11842	a13058
p12492	a9676
p7287	t40
p13075	a5357
p7148	a12153
p11682	c17
p13140	t460
p3899	t1811
p12709	t556
p1705	a1707
p8186	t212
p1077	c1
p6463	t653
p3601	t60
p7020	a2852
p8035	a7058
p2398	t780
p466	t636
p6677	t4
p3775	t7049
p14293	t1027
p8946	t4237
p10263	t4320
p1799	t136
p303	t503
p14369	a1760
p9655	t573
p13977	a3250
p9957	c16
p7508	a3004
p6719	a2719
p9786	t2589
p703	t290
p8365	t3570
p8765	t33
p456	t1599
p1933	t12
p6863	t1247
p14127	c19
p11477	a7937
p13686	a10093
p14184	a4120
p11428	a10154
p8014	a10428
p14029	t5876
p6396	a1160
p6236	a1176
p1971	a5079
p11866	t1258
p5407	t5278
p5408	t1182
p11370	t4177
p7817	t458
p7572	t78
p1005	t952
p5494	t5363
p10504	t650
p9443	t328
p11919	t503
p10071	a13324
p5117	t410
p6117	t887
p3370	t5515
p12971	t603
p822	t3293
p9810	t12
p8043	c11
p5152	t6947
p10430	t432
p11040	t238
p10920	a614
p2731	t3580
p12130	c17
p1173	t53
p9563	t1224
p4638	t417
p8685	t458
p3891	t46
p5834	t4
p8328	a9604
p3032	a7003
p8853	t417
p13270	c18
p11003	a8458
p8731	t2068
p1366	t60
p12528	t50
p13737	t503
p7189	t479
p7643	t56
p3316	t19
p11384	a9101
p4488	t546
p4930	a11625
p1490	t3095
p3510	a6377
p12777	a11343
p8640	t2417
p2439	t685
p3518	t426
p1706	t943
p4021	a4559
p13147	t423
p14014	t2779
p10702	c16
p3943	t90
p2019	t2114
p10932	c16
p7748	a10431
p5924	c10
p2485	a9018
p14235	t818
p8805	t1068
p7885	t53
p5576	a4001
p5428	t338
p9685	a2844
p9442	t555
p2370	a42
p9079	c13
p12160	a560
p10611	t128
p7637	t885
p5016	t868
p13999	a7899
p12574	t426
p12981	t6049
p12057	t483
p12744	t2570
p1445	t931
p14280	t60
p12582	a4530
p273	t1834
p7397	t115
p13425	c18
p2771	t4699
p2076	a475
p4359	t233
p13304	a4549
p5877	t4
p8523	t4413
p11688	t820
p6133	t7
p4044	t2221
p7921	c11
p4632	t503
p2552	c3
p6135	t79
p9405	t106
p13643	t750
p6624	t638
p7075	t1082
p2381	t88
p13709	t52
p12740	t33
p9651	t4948
p14244	t2588
p4844	t8843
p6336	t1247
p2734	t128
p6507	a11814
p7291	a1247
p9016	t43
p9832	t4
p4242	c7
p11600	t52
p7655	t167
p6727	t266
p878	t1
p477	t1506
p2719	t3906
p9003	a1968
p8205	t4
p14304	t10
p11068	t678
p9402	t33
p9038	t4
p3956	t1992
p1608	t493
p3408	t1254
p8321	t12
p8748	t79
p10453	t625
p1851	t60
p13579	a10540
p10002	t202
p13653	t2133
p8312	t182
p7357	a12399
p1201	a3208
p11094	t10
p1270	t869
p2604	t650
p14075	a9714
p9673	c15
p1297	t3681
p8224	t79
p805	t17
p3893	t3392
p3125	t1034
p6914	t1149
p5381	a4967
p9483	t7170
p3735	t3439
p11095	a13175
p2468	t4
p3371	t857
p11250	a13693
p14246	t2578
p4410	c7
p10785	t529
p3242	t1011
p3836	a7899
p4869	t4441
p10855	a3971
p497	a2152
p4938	t106
p882	a2817
p4544	t2392
p6381	c10
p6350	a5207
p13522	t51
p12788	a1362
p5603	t321
p6253	t426
p11847	t490
p1526	t729
p3996	t4
p4225	a10783
p6684	t5307
p1505	a2106
p8987	a1142
p13130	t315
p8461	t2004
p8618	t2972
p6252	t484
p5322	a11859
p13696	t166
p12940	a7829
p13876	t1024
p452	t710
p12952	t503
p11532	a4631
p191	t104
p6947	t2547
p13850	a10781
p9145	a6910
p3215	t483
p8660	a12457
p1428	a1521
p315	t106
p8748	t252
p3312	t274
p7791	t1400
p11117	t78
p7731	t1247
p10830	t2
p6346	t2971
p8015	t780
p486	t392
p1471	a294
p14073	t8189
p4796	a7423
p7786	t546
p7204	c10
p5936	t19
p2279	t454
p8288	a5613
p4270	t106
p13268	t819
p3473	a9161
p8555	a5346
p8955	t338
p4521	c7
p148	t831
p8850	t263
p7915	t327
p8682	t1310
p11116	c16
p2794	t142
p6753	t1684
p10250	t680
p6598	a8548
p11706	t60
p3428	a7228
p8497	t441
p2830	t2554
p14029	t6486
p699	t59
p11867	t483
p1175	a1922
p6979	a1554
p13600	t60
p4541	t1094
